,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
177,4,1.0,1.0,2,75.00,350.00,60.00,53,95,10.0,10.0,10.0,9.0,10.0
178,2,1.0,0.0,1,99.00,,,106,99,10.0,10.0,10.0,10.0,10.0
179,6,1.0,2.0,3,149.00,300.00,105.00,11,96,10.0,9.0,9.0,10.0,9.0
180,3,1.0,1.0,2,95.00,150.00,40.00,79,95,10.0,10.0,10.0,10.0,9.0
181,2,1.0,1.0,1,100.00,,,52,97,10.0,10.0,10.0,10.0,10.0
182,2,1.0,1.0,1,74.00,100.00,15.00,20,87,9.0,9.0,9.0,10.0,8.0
183,2,1.0,1.0,1,140.00,250.00,65.00,30,99,10.0,10.0,10.0,10.0,10.0
184,4,1.0,1.0,1,130.00,350.00,50.00,14,97,10.0,10.0,10.0,10.0,9.0
185,2,1.0,1.0,1,110.00,100.00,40.00,27,96,10.0,10.0,10.0,10.0,10.0
186,8,2.0,4.0,4,199.00,350.00,160.00,5,84,8.0,9.0,8.0,9.0,9.0
187,6,1.5,2.0,3,209.00,300.00,95.00,5,96,10.0,10.0,10.0,10.0,10.0
188,4,1.0,0.0,2,100.00,100.00,50.00,28,97,10.0,10.0,10.0,10.0,10.0
189,4,1.0,1.0,1,110.00,100.00,30.00,97,96,10.0,10.0,10.0,10.0,10.0
190,2,1.0,1.0,2,104.00,250.00,50.00,15,96,10.0,10.0,10.0,10.0,10.0
191,2,1.0,1.0,1,90.00,,13.00,43,97,10.0,10.0,10.0,10.0,10.0
192,6,1.0,2.0,3,135.00,200.00,30.00,71,97,10.0,10.0,10.0,9.0,10.0
193,6,1.0,2.0,3,122.00,100.00,50.00,9,96,10.0,10.0,10.0,10.0,10.0
194,2,1.0,0.0,1,80.00,,40.00,3,93,10.0,10.0,10.0,10.0,10.0
195,4,1.0,2.0,2,158.00,150.00,65.00,1,80,10.0,4.0,6.0,10.0,8.0
196,4,1.0,1.0,1,90.00,,10.00,11,92,9.0,10.0,10.0,10.0,9.0
197,4,1.0,1.0,2,89.00,300.00,90.00,4,95,10.0,10.0,10.0,10.0,10.0
198,4,1.0,2.0,2,125.00,100.00,50.00,12,93,9.0,10.0,10.0,10.0,9.0
199,2,1.0,1.0,1,65.00,200.00,40.00,61,97,9.0,10.0,10.0,10.0,10.0
200,4,1.0,1.0,2,100.00,95.00,40.00,49,94,10.0,10.0,10.0,10.0,9.0
201,2,1.0,1.0,2,40.00,,35.00,4,95,10.0,10.0,10.0,10.0,10.0
202,4,1.0,1.0,1,110.00,,40.00,35,94,9.0,10.0,10.0,10.0,10.0
203,4,1.0,2.0,3,99.00,400.00,100.00,10,96,10.0,10.0,10.0,10.0,9.0
204,2,2.0,1.0,1,55.00,,25.00,86,97,10.0,10.0,10.0,10.0,10.0
205,4,1.0,1.0,1,119.00,,50.00,17,92,10.0,10.0,10.0,10.0,9.0
206,5,2.0,3.0,3,175.00,100.00,,26,99,10.0,10.0,10.0,10.0,10.0
207,2,1.0,1.0,1,75.00,,,11,93,9.0,10.0,10.0,9.0,9.0
208,4,1.0,2.0,2,126.00,350.00,65.00,12,95,10.0,9.0,10.0,9.0,10.0
209,2,1.0,1.0,1,70.00,300.00,,63,99,10.0,10.0,10.0,10.0,10.0
210,2,1.0,1.0,1,129.00,,60.00,28,87,9.0,10.0,9.0,10.0,9.0
211,12,2.0,5.0,6,225.00,700.00,,29,92,9.0,10.0,9.0,9.0,9.0
212,1,1.0,1.0,1,40.00,350.00,35.00,6,93,9.0,10.0,10.0,10.0,9.0
213,1,1.0,1.0,1,40.00,350.00,35.00,7,94,7.0,9.0,10.0,10.0,10.0
214,1,1.0,1.0,1,40.00,350.00,35.00,1,80,6.0,10.0,8.0,10.0,10.0
215,4,1.0,2.0,2,95.00,400.00,,64,97,10.0,10.0,10.0,10.0,10.0
216,6,1.0,2.0,4,175.00,,,39,97,10.0,10.0,10.0,9.0,10.0
217,6,1.0,2.0,4,160.00,400.00,90.00,37,93,10.0,10.0,10.0,10.0,9.0
218,1,1.0,1.0,1,40.00,350.00,35.00,2,90,8.0,10.0,10.0,10.0,10.0
219,2,1.0,1.0,1,120.00,100.00,,32,96,10.0,10.0,10.0,10.0,9.0
220,4,1.0,1.0,2,66.00,,70.00,33,96,10.0,10.0,10.0,10.0,10.0
221,2,1.0,1.0,1,55.00,,,207,96,10.0,10.0,10.0,10.0,10.0
222,2,1.0,0.0,1,85.00,,20.00,37,98,10.0,10.0,10.0,10.0,10.0
223,6,1.0,2.0,3,175.00,,50.00,45,90,8.0,10.0,10.0,10.0,9.0
224,2,1.0,1.0,1,105.00,,,1,80,10.0,10.0,10.0,10.0,10.0
225,3,1.0,1.0,3,55.00,,10.00,203,95,10.0,10.0,10.0,10.0,9.0
226,5,1.0,2.0,2,150.00,300.00,75.00,6,97,10.0,10.0,10.0,9.0,9.0
227,1,1.0,1.0,1,40.00,350.00,35.00,6,93,8.0,9.0,10.0,9.0,10.0
228,2,2.0,1.0,2,59.00,,15.00,182,93,9.0,10.0,10.0,10.0,9.0
229,5,1.0,2.0,3,200.00,,40.00,3,80,9.0,10.0,9.0,9.0,7.0
230,3,1.0,0.0,1,60.00,,,14,91,9.0,10.0,9.0,10.0,10.0
231,2,1.0,1.0,1,59.00,,15.00,86,93,9.0,10.0,10.0,10.0,9.0
232,1,1.0,1.0,1,40.00,350.00,35.00,4,93,9.0,9.0,10.0,9.0,10.0
233,2,1.0,1.0,1,139.00,,25.00,21,92,9.0,9.0,10.0,10.0,9.0
234,4,1.0,1.0,2,70.00,250.00,75.00,12,95,10.0,10.0,10.0,10.0,9.0
235,4,1.0,1.0,1,85.00,,50.00,35,94,10.0,10.0,10.0,10.0,9.0
236,2,1.5,1.0,1,70.00,,,66,97,9.0,10.0,10.0,10.0,10.0
237,6,1.0,2.0,4,166.00,,209.00,2,90,9.0,10.0,10.0,9.0,8.0
238,4,1.0,1.0,2,99.00,,,70,97,10.0,10.0,10.0,10.0,10.0
239,2,1.0,1.0,1,110.00,100.00,20.00,25,92,9.0,10.0,10.0,10.0,9.0
240,4,1.0,1.0,2,100.00,100.00,75.00,6,97,10.0,10.0,10.0,9.0,10.0
241,7,1.0,3.0,4,250.00,200.00,65.00,5,88,8.0,9.0,9.0,9.0,8.0
242,4,1.0,1.0,2,150.00,400.00,120.00,2,90,8.0,7.0,9.0,10.0,10.0
243,2,1.0,1.0,1,95.00,300.00,75.00,1,80,8.0,10.0,10.0,10.0,8.0
244,1,1.0,1.0,1,40.00,350.00,35.00,6,84,8.0,9.0,9.0,9.0,8.0
245,4,1.0,2.0,2,215.00,250.00,65.00,5,92,9.0,10.0,10.0,10.0,9.0
246,2,1.0,1.0,1,110.00,,15.00,46,97,10.0,10.0,10.0,10.0,9.0
247,5,1.0,3.0,3,249.00,300.00,100.00,1,80,10.0,10.0,10.0,10.0,10.0
248,8,2.0,3.0,3,295.00,300.00,95.00,41,97,10.0,10.0,10.0,10.0,10.0
249,2,1.0,1.0,1,90.00,200.00,40.00,52,93,9.0,10.0,9.0,10.0,9.0
250,2,1.0,0.0,1,85.00,100.00,8.00,5,88,10.0,10.0,10.0,10.0,9.0
251,1,1.0,1.0,1,40.00,350.00,35.00,3,80,6.0,9.0,10.0,9.0,8.0
252,2,1.5,1.0,1,40.00,150.00,20.00,32,96,9.0,10.0,10.0,10.0,10.0
253,2,1.0,1.0,1,130.00,350.00,50.00,2,90,10.0,10.0,10.0,8.0,9.0
254,4,1.5,3.0,2,210.00,,100.00,6,93,9.0,10.0,10.0,10.0,9.0
255,6,2.5,2.0,3,439.00,399.00,99.00,11,91,9.0,10.0,10.0,10.0,9.0
256,3,1.0,1.0,1,95.00,100.00,82.00,13,90,10.0,9.0,9.0,10.0,10.0
257,4,1.0,2.0,3,109.00,100.00,60.00,36,99,10.0,10.0,10.0,10.0,10.0
258,1,1.0,1.0,1,40.00,350.00,28.00,5,88,7.0,9.0,9.0,9.0,9.0
259,4,1.0,2.0,1,175.00,100.00,75.00,4,95,10.0,10.0,10.0,10.0,10.0
260,3,1.0,1.0,2,80.00,100.00,40.00,69,96,10.0,10.0,10.0,10.0,10.0
