accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
2,1.0,1.0,1,115.00,100.00,20.00,13,92,9.0,10.0,10.0,9.0,9.0
2,1.0,1.0,1,199.00,,80.00,13,97,10.0,10.0,10.0,10.0,10.0
6,2.5,3.0,4,250.00,500.00,100.00,98,98,10.0,10.0,10.0,10.0,10.0
4,1.0,1.0,1,69.00,150.00,55.00,28,90,9.0,9.0,10.0,9.0,9.0
4,1.0,1.0,2,145.00,350.00,60.00,17,91,9.0,10.0,10.0,9.0,9.0
5,1.0,1.0,4,98.00,300.00,10.00,139,97,10.0,10.0,9.0,10.0,10.0
4,1.0,1.0,2,85.00,,,15,96,9.0,10.0,10.0,9.0,10.0
1,1.0,1.0,1,85.00,,15.00,1,90,10.0,10.0,10.0,8.0,10.0
4,1.0,1.0,2,150.00,150.00,25.00,5,88,9.0,9.0,10.0,10.0,10.0
6,2.0,3.0,3,190.00,500.00,100.00,3,93,9.0,10.0,9.0,10.0,10.0
2,1.0,1.0,1,68.00,200.00,50.00,17,94,10.0,10.0,10.0,10.0,9.0
2,1.5,1.0,1,149.00,100.00,60.00,31,96,10.0,10.0,10.0,10.0,9.0
10,2.0,2.0,5,349.00,,100.00,34,92,9.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,150.00,200.00,40.00,15,98,9.0,10.0,10.0,9.0,9.0
4,1.0,2.0,3,165.00,,75.00,7,97,10.0,10.0,10.0,10.0,10.0
4,1.0,1.0,2,195.00,100.00,35.00,28,82,8.0,9.0,9.0,9.0,8.0
4,2.0,2.0,2,200.00,95.00,,7,89,9.0,9.0,9.0,9.0,9.0
2,1.5,1.0,1,90.00,125.00,30.00,36,97,10.0,10.0,10.0,9.0,10.0
2,1.0,1.0,1,125.00,,30.00,16,92,9.0,9.0,10.0,10.0,9.0
8,1.5,3.0,5,250.00,,264.00,4,90,10.0,10.0,10.0,10.0,9.0
2,1.5,1.0,1,130.00,100.00,50.00,23,98,10.0,10.0,10.0,10.0,10.0
4,1.0,1.0,2,110.00,150.00,50.00,61,97,10.0,10.0,10.0,10.0,10.0
4,1.0,1.0,2,90.00,350.00,60.00,50,96,10.0,10.0,10.0,9.0,10.0
2,1.0,1.0,1,90.00,,,55,97,9.0,10.0,10.0,10.0,10.0
4,1.5,2.0,2,165.00,200.00,55.00,26,98,10.0,10.0,10.0,10.0,10.0
6,2.0,3.0,4,285.00,300.00,150.00,53,96,10.0,10.0,10.0,9.0,10.0
2,1.0,1.0,1,68.00,100.00,100.00,4,95,9.0,10.0,10.0,10.0,9.0
4,1.0,1.0,2,125.00,300.00,55.00,32,97,10.0,10.0,10.0,9.0,10.0
2,1.0,1.0,1,110.00,800.00,100.00,53,93,9.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,95.00,,25.00,1,80,10.0,10.0,10.0,8.0,6.0
4,1.0,1.0,2,103.00,350.00,60.00,49,95,10.0,10.0,10.0,9.0,9.0
2,1.0,1.0,1,120.00,350.00,60.00,59,98,10.0,10.0,10.0,9.0,10.0
2,1.0,1.0,1,99.00,,20.00,18,97,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,142.00,,40.00,63,99,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,2,150.00,,25.00,16,93,10.0,9.0,10.0,9.0,9.0
6,2.0,3.0,3,295.00,1000.00,110.00,4,95,10.0,10.0,10.0,10.0,9.0
8,3.0,4.0,5,499.00,499.00,200.00,14,99,10.0,10.0,10.0,10.0,10.0
8,2.0,3.0,4,350.00,300.00,155.00,9,96,10.0,10.0,10.0,10.0,10.0
3,1.0,1.0,2,156.00,300.00,25.00,11,98,10.0,10.0,10.0,10.0,10.0
4,1.0,2.0,3,200.00,100.00,111.00,11,91,9.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,99.00,100.00,,115,94,9.0,10.0,10.0,10.0,9.0
3,1.0,1.0,1,94.00,100.00,40.00,6,87,9.0,9.0,10.0,8.0,9.0
4,1.0,1.0,1,160.00,100.00,72.00,10,92,10.0,10.0,10.0,10.0,9.0
4,1.0,1.0,2,129.00,300.00,60.00,21,96,10.0,10.0,10.0,9.0,10.0
4,1.0,1.0,2,219.00,,90.00,5,96,10.0,10.0,10.0,10.0,10.0
4,1.0,1.0,1,91.00,150.00,60.00,5,92,9.0,10.0,10.0,9.0,9.0
4,1.0,1.0,2,75.00,350.00,60.00,53,95,10.0,10.0,10.0,9.0,10.0
2,1.0,0.0,1,99.00,,,106,99,10.0,10.0,10.0,10.0,10.0
6,1.0,2.0,3,149.00,300.00,105.00,11,96,10.0,9.0,9.0,10.0,9.0
3,1.0,1.0,2,95.00,150.00,40.00,79,95,10.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,100.00,,,52,97,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,74.00,100.00,15.00,20,87,9.0,9.0,9.0,10.0,8.0
2,1.0,1.0,1,140.00,250.00,65.00,30,99,10.0,10.0,10.0,10.0,10.0
4,1.0,1.0,1,130.00,350.00,50.00,14,97,10.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,110.00,100.00,40.00,27,96,10.0,10.0,10.0,10.0,10.0
8,2.0,4.0,4,199.00,350.00,160.00,5,84,8.0,9.0,8.0,9.0,9.0
6,1.5,2.0,3,209.00,300.00,95.00,5,96,10.0,10.0,10.0,10.0,10.0
4,1.0,0.0,2,100.00,100.00,50.00,28,97,10.0,10.0,10.0,10.0,10.0
4,1.0,1.0,1,110.00,100.00,30.00,97,96,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,2,104.00,250.00,50.00,15,96,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,90.00,,13.00,43,97,10.0,10.0,10.0,10.0,10.0
6,1.0,2.0,3,135.00,200.00,30.00,71,97,10.0,10.0,10.0,9.0,10.0
6,1.0,2.0,3,122.00,100.00,50.00,9,96,10.0,10.0,10.0,10.0,10.0
2,1.0,0.0,1,80.00,,40.00,3,93,10.0,10.0,10.0,10.0,10.0
4,1.0,2.0,2,158.00,150.00,65.00,1,80,10.0,4.0,6.0,10.0,8.0
4,1.0,1.0,1,90.00,,10.00,11,92,9.0,10.0,10.0,10.0,9.0
4,1.0,1.0,2,89.00,300.00,90.00,4,95,10.0,10.0,10.0,10.0,10.0
4,1.0,2.0,2,125.00,100.00,50.00,12,93,9.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,65.00,200.00,40.00,61,97,9.0,10.0,10.0,10.0,10.0
4,1.0,1.0,2,100.00,95.00,40.00,49,94,10.0,10.0,10.0,10.0,9.0
2,1.0,1.0,2,40.00,,35.00,4,95,10.0,10.0,10.0,10.0,10.0
4,1.0,1.0,1,110.00,,40.00,35,94,9.0,10.0,10.0,10.0,10.0
4,1.0,2.0,3,99.00,400.00,100.00,10,96,10.0,10.0,10.0,10.0,9.0
2,2.0,1.0,1,55.00,,25.00,86,97,10.0,10.0,10.0,10.0,10.0
4,1.0,1.0,1,119.00,,50.00,17,92,10.0,10.0,10.0,10.0,9.0
5,2.0,3.0,3,175.00,100.00,,26,99,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,75.00,,,11,93,9.0,10.0,10.0,9.0,9.0
4,1.0,2.0,2,126.00,350.00,65.00,12,95,10.0,9.0,10.0,9.0,10.0
2,1.0,1.0,1,70.00,300.00,,63,99,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,129.00,,60.00,28,87,9.0,10.0,9.0,10.0,9.0
12,2.0,5.0,6,225.00,700.00,,29,92,9.0,10.0,9.0,9.0,9.0
1,1.0,1.0,1,40.00,350.00,35.00,6,93,9.0,10.0,10.0,10.0,9.0
1,1.0,1.0,1,40.00,350.00,35.00,7,94,7.0,9.0,10.0,10.0,10.0
1,1.0,1.0,1,40.00,350.00,35.00,1,80,6.0,10.0,8.0,10.0,10.0
4,1.0,2.0,2,95.00,400.00,,64,97,10.0,10.0,10.0,10.0,10.0
6,1.0,2.0,4,175.00,,,39,97,10.0,10.0,10.0,9.0,10.0
6,1.0,2.0,4,160.00,400.00,90.00,37,93,10.0,10.0,10.0,10.0,9.0
1,1.0,1.0,1,40.00,350.00,35.00,2,90,8.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,120.00,100.00,,32,96,10.0,10.0,10.0,10.0,9.0
4,1.0,1.0,2,66.00,,70.00,33,96,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,55.00,,,207,96,10.0,10.0,10.0,10.0,10.0
2,1.0,0.0,1,85.00,,20.00,37,98,10.0,10.0,10.0,10.0,10.0
6,1.0,2.0,3,175.00,,50.00,45,90,8.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,105.00,,,1,80,10.0,10.0,10.0,10.0,10.0
3,1.0,1.0,3,55.00,,10.00,203,95,10.0,10.0,10.0,10.0,9.0
5,1.0,2.0,2,150.00,300.00,75.00,6,97,10.0,10.0,10.0,9.0,9.0
1,1.0,1.0,1,40.00,350.00,35.00,6,93,8.0,9.0,10.0,9.0,10.0
2,2.0,1.0,2,59.00,,15.00,182,93,9.0,10.0,10.0,10.0,9.0
5,1.0,2.0,3,200.00,,40.00,3,80,9.0,10.0,9.0,9.0,7.0
3,1.0,0.0,1,60.00,,,14,91,9.0,10.0,9.0,10.0,10.0
2,1.0,1.0,1,59.00,,15.00,86,93,9.0,10.0,10.0,10.0,9.0
1,1.0,1.0,1,40.00,350.00,35.00,4,93,9.0,9.0,10.0,9.0,10.0
2,1.0,1.0,1,139.00,,25.00,21,92,9.0,9.0,10.0,10.0,9.0
4,1.0,1.0,2,70.00,250.00,75.00,12,95,10.0,10.0,10.0,10.0,9.0
4,1.0,1.0,1,85.00,,50.00,35,94,10.0,10.0,10.0,10.0,9.0
2,1.5,1.0,1,70.00,,,66,97,9.0,10.0,10.0,10.0,10.0
6,1.0,2.0,4,166.00,,209.00,2,90,9.0,10.0,10.0,9.0,8.0
4,1.0,1.0,2,99.00,,,70,97,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,110.00,100.00,20.00,25,92,9.0,10.0,10.0,10.0,9.0
4,1.0,1.0,2,100.00,100.00,75.00,6,97,10.0,10.0,10.0,9.0,10.0
7,1.0,3.0,4,250.00,200.00,65.00,5,88,8.0,9.0,9.0,9.0,8.0
4,1.0,1.0,2,150.00,400.00,120.00,2,90,8.0,7.0,9.0,10.0,10.0
2,1.0,1.0,1,95.00,300.00,75.00,1,80,8.0,10.0,10.0,10.0,8.0
1,1.0,1.0,1,40.00,350.00,35.00,6,84,8.0,9.0,9.0,9.0,8.0
4,1.0,2.0,2,215.00,250.00,65.00,5,92,9.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,110.00,,15.00,46,97,10.0,10.0,10.0,10.0,9.0
5,1.0,3.0,3,249.00,300.00,100.00,1,80,10.0,10.0,10.0,10.0,10.0
