id,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
20927,2,1.0,1.0,1.0,89.00,,10.00,244,97.0,9.0,10.0,10.0,10.0,10.0
4395578,8,2.5,3.0,5.0,225.00,,264.00,1,100.0,10.0,10.0,10.0,8.0,10.0
4995903,1,1.0,0.0,1.0,50.00,,,0,,,,,,
5549211,4,1.0,1.0,2.0,134.00,200.00,100.00,40,98.0,10.0,10.0,10.0,10.0,10.0
8240758,2,1.0,1.0,1.0,75.00,,100.00,2,80.0,10.0,10.0,10.0,10.0,9.0
6856295,2,1.0,1.0,1.0,65.00,,,46,97.0,10.0,10.0,10.0,10.0,10.0
6881188,6,2.5,3.0,4.0,375.00,300.00,100.00,23,96.0,10.0,10.0,10.0,10.0,9.0
1579615,3,1.0,1.0,2.0,97.00,100.00,45.00,44,98.0,10.0,10.0,10.0,10.0,10.0
3766866,2,1.0,1.0,1.0,145.00,150.00,45.00,14,97.0,10.0,10.0,10.0,10.0,9.0
2406966,5,1.0,2.0,4.0,129.00,250.00,75.00,12,100.0,10.0,10.0,10.0,10.0,10.0
4872699,6,1.5,3.0,4.0,197.00,,180.00,1,100.0,10.0,10.0,10.0,10.0,8.0
5470629,2,1.0,1.0,1.0,120.00,350.00,60.00,25,99.0,10.0,10.0,10.0,10.0,10.0
2950213,4,1.0,1.0,1.0,200.00,150.00,,35,95.0,9.0,10.0,10.0,10.0,9.0
9015088,5,2.0,2.0,2.0,135.00,100.00,50.00,5,100.0,10.0,10.0,10.0,10.0,10.0
3979496,2,1.0,1.0,1.0,70.00,250.00,,31,95.0,10.0,10.0,10.0,10.0,10.0
7501919,2,1.0,1.0,2.0,150.00,250.00,30.00,7,97.0,10.0,10.0,10.0,10.0,9.0
4732995,3,1.0,1.0,1.0,200.00,,50.00,4,95.0,9.0,10.0,10.0,10.0,10.0
7134759,2,1.0,1.0,1.0,60.00,,55.00,16,98.0,10.0,10.0,10.0,10.0,10.0
4532538,5,3.0,3.0,5.0,180.00,,150.00,1,100.0,10.0,10.0,10.0,10.0,10.0
7534398,3,1.0,1.0,1.0,69.00,,,8,100.0,10.0,10.0,10.0,10.0,10.0
9387189,3,1.0,0.0,1.0,90.00,,25.00,1,100.0,10.0,10.0,10.0,10.0,10.0
6337492,2,1.0,1.0,1.0,80.00,,,5,92.0,8.0,9.0,10.0,10.0,10.0
10231701,2,1.5,1.0,1.0,65.00,,25.00,0,,,,,,
1609922,5,1.5,2.0,2.0,150.00,100.00,90.00,26,94.0,9.0,10.0,10.0,10.0,9.0
4236723,6,1.5,2.0,3.0,195.00,,,113,94.0,9.0,10.0,10.0,10.0,9.0
7843837,4,1.0,1.0,1.0,149.00,,,0,,,,,,
3076065,5,3.0,2.0,2.0,224.00,600.00,120.00,15,96.0,10.0,9.0,10.0,10.0,9.0
6423204,3,1.0,2.0,2.0,115.00,200.00,40.00,44,91.0,9.0,10.0,10.0,9.0,9.0
8338849,2,1.0,1.0,1.0,55.00,,,7,94.0,10.0,10.0,10.0,10.0,10.0
6401209,8,2.5,4.0,5.0,338.00,500.00,200.00,13,97.0,10.0,10.0,10.0,10.0,10.0
20928,2,1.0,1.0,1.0,79.00,,10.00,44,97.0,10.0,10.0,10.0,10.0,10.0
3344977,2,1.0,1.0,1.0,80.00,100.00,15.00,56,96.0,10.0,10.0,10.0,10.0,10.0
7604621,2,1.0,0.0,1.0,85.00,200.00,35.00,11,95.0,10.0,9.0,10.0,10.0,9.0
3303978,2,1.0,1.0,1.0,80.00,,25.00,39,98.0,10.0,10.0,10.0,10.0,10.0
7067082,3,1.0,1.0,1.0,49.00,,7.00,10,90.0,9.0,10.0,10.0,10.0,9.0
3121829,4,2.5,3.0,2.0,100.00,300.00,85.00,6,90.0,10.0,9.0,9.0,10.0,9.0
2539881,2,1.0,1.0,1.0,79.00,,,4,85.0,8.0,10.0,10.0,10.0,10.0
3678718,2,1.0,0.0,1.0,75.00,250.00,50.00,79,96.0,10.0,10.0,10.0,10.0,10.0
4694479,2,1.0,1.0,1.0,57.00,100.00,15.00,50,96.0,10.0,10.0,10.0,10.0,10.0
6646843,4,1.0,1.0,2.0,99.00,,45.00,28,89.0,9.0,10.0,10.0,10.0,9.0
1364440,1,1.0,1.0,1.0,55.00,,,20,100.0,10.0,10.0,10.0,9.0,10.0
1781873,2,1.0,1.0,1.0,96.00,,,57,92.0,9.0,10.0,10.0,9.0,9.0
4138423,4,1.0,1.0,1.0,99.00,100.00,30.00,38,94.0,9.0,10.0,10.0,9.0,9.0
5562674,4,1.0,2.0,2.0,79.00,,35.00,71,95.0,10.0,10.0,10.0,10.0,9.0
1789341,2,1.0,1.0,1.0,115.00,200.00,85.00,17,99.0,10.0,10.0,10.0,10.0,10.0
4672934,10,2.5,3.0,5.0,350.00,500.00,125.00,13,98.0,10.0,10.0,10.0,10.0,10.0
4550099,6,3.0,3.0,3.0,295.00,300.00,131.00,3,93.0,7.0,9.0,10.0,9.0,8.0
